AUDIT_DATA,20,4,4
GOLDENGATE,1489.06,1360.06,1
TECHNO,554,553.06,1
KPI,5,5,1
SUPERVISOR,1.13,1,1
TBS_OTHERS,339094.82,330399.48,11
RISK2,49549,47183.31,4
KAVOSHGAR2,32725,2275.81,1
SYSAUX,39715,3499.69,3
SOFTWARE,5,1,1
ERP_MART,44.44,42.31,1
REPORTER,2,1.31,1
USERS,12,11.25,1
SOFTWARE3,98,3.19,1
OWBSYS,182,181.63,1
RAYAN_BPE,10,2,2
SYSTEM,22817,1880.13,2
UNDOTBS2,20833,2988.5,2
DEV_ODI_USER,15,14.63,1
PB_MART,5,1,1
AUDIT_ARCHIVE,13464.06,12822.06,3
